"","Year","N_ID","Pop","C_Rate","Ad_Ed","Child_Care","Com_House","Emp_Res","Sub_Trt","Trans_House","Recreation","Inflation","NIA"
"103",2014,69,7115.55571191053,"Medium",0,0,39,0,1,0,0,1.91,0
"104",2014,4,9632.88792862178,"Medium",0,54,15,0,0,0,0,1.91,0
"105",2014,62,19423.9994052716,"High",0,0,48,0,0,0,0,1.91,0
"106",2014,18,10331.5556767428,"Medium",1,29,2,1,0,0,0,1.91,0
"107",2014,80,12801.7777547686,"Medium",0,0,1,1,0,0,0,1.91,0
"108",2014,45,31841.7793257633,"Low",0,0,12,0,0,0,0,1.91,0
"109",2014,23,9073.77801490585,"High",0,28,1,0,0,0,0,1.91,0
"110",2014,67,7117.33356421711,"High",0,0,3,0,0,0,0,1.91,0
"111",2014,7,19963.5567212954,"Medium",0,33,1,0,0,0,0,1.91,0
"112",2014,137,49052.4407374002,"Medium",1,0,26,0,0,0,0,1.91,1
"113",2014,60,7201.77825603629,"High",0,0,4,0,0,0,0,1.91,0
"114",2014,52,18352.0012211173,"Medium",0,0,0,0,0,0,0,1.91,0
"115",2014,39,21199.1117360965,"Low",0,0,1,0,0,0,0,1.91,0
"116",2014,111,20404.4452051509,"Medium",0,0,12,1,0,0,1,1.91,1
"117",2014,41,8244.44423833334,"Low",2,0,0,0,0,0,0,1.91,0
"118",2014,47,24704.8867565355,"Medium",0,0,3,0,0,0,0,1.91,0
"119",2014,113,16593.7775371926,"High",1,0,2,0,0,0,0,1.91,1
"120",2014,103,13845.3327560812,"Low",0,0,3,0,0,0,0,1.91,0
"121",2014,30,16310.2250378061,"Low",0,0,3,0,0,0,0,1.91,0
"122",2014,19,9103.111305593,"Medium",0,62,0,0,0,0,0,1.91,0
"123",2014,132,40668.4434518091,"Low",0,0,228,2,0,0,0,1.91,0
"124",2014,83,10782.2227335484,"High",0,0,14,0,0,0,0,1.91,0
"125",2014,29,9289.77871320133,"Very Low",0,0,0,0,0,0,0,1.91,0
"126",2014,12,9573.33296134097,"Medium",0,51,0,0,0,0,0,1.91,0
"127",2014,116,22695.1103680264,"Very Low",0,0,0,0,1,0,0,1.91,0
"128",2014,105,13324.4439948453,"Low",0,0,1,0,0,0,1,1.91,0
"129",2014,100,10437.3332920276,"Medium",0,0,0,0,0,0,0,1.91,0
"130",2014,135,16063.1112423313,"Medium",0,0,26,0,0,0,0,1.91,1
"131",2014,73,17498.6684851627,"High",2,0,36,2,1,0,4,1.91,0
"132",2014,84,13175.1109325186,"Low",0,0,3,0,0,0,0,1.91,0
"133",2014,64,11217.7773682976,"Medium",0,0,49,0,0,0,0,1.91,0
"134",2014,50,14911.1119152664,"Low",0,0,1,0,0,0,0,1.91,0
"135",2014,130,24596.4414463062,"Medium",0,0,0,0,0,0,0,1.91,0
"136",2014,46,14599.1124689877,"Very Low",0,0,0,0,0,0,0,1.91,0
"137",2014,94,13026.6685372542,"Low",0,0,21,0,0,0,0,1.91,0
