,Year,N_ID,Pop,C_Rate,Ad_Ed,Child_Care,Com_House,Emp_Res,Sub_Trt,Trans_House,Recreation,Inflation,NIA
97,2014,131,42415.11143158087,121.28800964587501,0,0,0,0,0,0,0,1.91,0
98,2014,2,30206.221935571502,193.11694609725,0,49,103,1,0,0,0,1.91,1
99,2014,71,10903.999805511243,270.03342782125003,0,0,50,1,0,0,3,1.91,0
100,2014,99,15087.110708269542,70.70052625,0,0,2,0,0,0,0,1.91,0
101,2014,104,27096.886980153777,87.7509575,0,0,11,1,0,0,1,1.91,0
102,2014,69,7115.555711910531,207.68269374999997,0,0,39,0,1,0,0,1.91,0
103,2014,4,9632.887928621782,175.325292,0,54,15,0,0,0,0,1.91,0
104,2014,62,19423.999405271636,228.81201506000002,0,0,48,0,0,0,0,1.91,0
105,2014,18,10331.555676742768,172.07261262499998,1,29,2,1,0,0,0,1.91,0
106,2014,80,12801.77775476864,205.70059750899998,0,0,1,1,0,0,0,1.91,0
107,2014,45,31841.77932576333,130.50638637499998,0,0,12,0,0,0,0,1.91,0
108,2014,23,9073.778014905845,213.06817624999996,0,28,1,0,0,0,0,1.91,0
109,2014,67,7117.333564217107,263.83163875,0,0,3,0,0,0,0,1.91,0
110,2014,7,19963.556721295412,180.32858825,0,33,1,0,0,0,0,1.91,0
111,2014,137,49052.440737400204,162.41121842062498,1,0,26,0,0,0,0,1.91,1
112,2014,60,7201.778256036288,220.6245225,0,0,4,0,0,0,0,1.91,0
113,2014,52,18352.0012211173,151.9664725,0,0,0,0,0,0,0,1.91,0
114,2014,39,21199.11173609651,143.61188725,0,0,1,0,0,0,0,1.91,0
115,2014,111,20404.44520515089,174.253968672375,0,0,12,1,0,0,1,1.91,1
116,2014,41,8244.444238333337,122.6415125,2,0,0,0,0,0,0,1.91,0
117,2014,47,24704.88675653553,183.04970457012502,0,0,3,0,0,0,0,1.91,0
118,2014,113,16593.77753719262,260.47247002887497,1,0,2,0,0,0,0,1.91,1
119,2014,103,13845.332756081214,124.39009250000001,0,0,3,0,0,0,0,1.91,0
120,2014,30,16310.225037806125,143.7407785,0,0,3,0,0,0,0,1.91,0
121,2014,19,9103.111305592996,191.6316725,0,62,0,0,0,0,0,1.91,0
122,2014,132,40668.443451809086,117.481205875,0,0,228,2,0,0,0,1.91,0
123,2014,83,10782.2227335484,214.34459,0,0,14,0,0,0,0,1.91,0
124,2014,29,9289.778713201327,77.74374875,0,0,0,0,0,0,0,1.91,0
125,2014,12,9573.332961340966,178.73724,0,51,0,0,0,0,0,1.91,0
126,2014,116,22695.110368026435,80.78098337499999,0,0,0,0,1,0,0,1.91,0
127,2014,105,13324.443994845275,127.58506100949998,0,0,1,0,0,0,1,1.91,0
128,2014,100,10437.333292027586,161.812298375,0,0,0,0,0,0,0,1.91,0
129,2014,135,16063.111242331324,151.48580475000003,0,0,26,0,0,0,0,1.91,1
130,2014,73,17498.668485162736,535.2788227635,2,0,36,2,1,0,4,1.91,0
131,2014,84,13175.110932518597,143.367968479625,0,0,3,0,0,0,0,1.91,0
132,2014,64,11217.77736829757,177.29794625,0,0,49,0,0,0,0,1.91,0
133,2014,50,14911.111915266429,116.9895615,0,0,1,0,0,0,0,1.91,0
134,2014,130,24596.441446306213,153.590420225,0,0,0,0,0,0,0,1.91,0
135,2014,46,14599.11246898767,83.71894009437501,0,0,0,0,0,0,0,1.91,0
136,2014,94,13026.668537254247,105.765935,0,0,21,0,0,0,0,1.91,0
137,2014,56,15421.33271039172,124.64695874999998,0,0,0,0,0,0,0,1.91,0
138,2014,108,13108.445417214913,173.7641425265,0,0,1,0,0,0,0,1.91,0
139,2014,17,28535.998720134514,171.32356,0,44,3,0,0,0,0,1.91,0
140,2015,97,12746.99851671807,63.740495375,0,0,0,0,0,0,0,1.13,0
141,2015,27,28612.99586376024,345.99662499999994,1,0,4,8,2,0,1,1.13,1
142,2015,38,16376.001106366464,130.52637125,3,0,0,3,0,0,0,1.13,0
143,2015,31,15187.999403857219,298.75560824999997,1,0,48,4,0,0,0,1.13,0
144,2015,16,25679.000506446344,112.932744375,0,46,0,1,0,0,1,1.13,0
145,2015,118,28181.999685282823,123.749203,1,0,15,3,0,0,0,1.13,0
146,2015,63,22087.00069574052,162.42585625,0,0,26,0,0,0,0,1.13,0
147,2015,3,10622.000088832698,205.940499125,0,60,30,1,0,0,1,1.13,1
148,2015,55,21382.001237873697,102.30567174999999,0,0,1,1,0,0,0,1.13,1
149,2015,59,17614.001899610674,115.67501874999999,2,0,6,0,0,0,1,1.13,0
150,2015,106,14801.999917765472,139.33927925,0,0,2,0,0,1,0,1.13,0
151,2015,14,44159.99854354189,215.97600350000002,2,57,5,3,1,0,0,1.13,0
152,2015,66,9923.000425848153,313.66520875000003,2,0,10,1,0,0,1,1.13,0
153,2015,28,10213.000524889665,175.02202174999996,0,0,7,0,0,0,0,1.13,1
154,2015,139,17177.99959143647,201.56596125000002,0,0,3,1,0,0,0,1.13,1
155,2015,85,22598.999632188315,202.44258925,2,0,10,1,0,0,0,1.13,1
156,2015,70,28430.000855323033,232.14913125,0,0,85,1,0,0,1,1.13,0
